parameter,value,CV,se_sa,rse_sa
r_pop,2.77196019201431,,0.444886424922508,16.0495243115025
delta_pop,0.380233833542425,,0.0824455304158084,21.6828496422082
beta_pop,1.25565737904599e-06,,1.71576247522751e-06,136.642566982014
tau_pop,8.51024612690669,,0.865023627220791,10.1644960007192
omega_r,0.201786566057977,20.3858174626011,0.15448913644287,76.5606647959323
omega_delta,0.0593552593136911,5.94075755434596,0.165177058670279,278.285463799126
omega_beta,2.60840570529022,3000.41308549056,0.953834582775233,36.5677233737343
omega_tau,0.0357195620820657,3.57309586434153,0.0390168733336001,109.231107716155
a,2.04351679455235,,0.0703639448929055,3.44327705456022
